id_comp;id_categ;connaissance_savoir
1;1;-  assurer un reporting régulier auprês de sa Direction et de ses clients internes.
2;1;- Ã  mettre en relation deux départements (technique et opérationnel), en veillant Ã  la bonne déclinaison technique des besoins exprimés par les divisions métiers , 
3;1;- Ãªtre un expert en techniques d'analyse des données et des méthodologies statistiques
4;3;- Actifs
5;3; analyse et gestion documentaire
6;3;- Analyser et comprendre l'origine d'un dysfonctionnement
7;1;- Animer les réunions
8;3;- Assister et aider aux missions d'audit et d'évaluation du niveau de sécurité des architectures et des solutions Ã  déployer ou existantes
9;1;- Assurer le lien entre les besoins d'un Département opérationnel et
10;2;- au moins 4 années d'expérience
11;2;- au moins 4 années d'expérience professionnelle
12;3;- bonne capacité d'analyse
13;3; cabinets de conseil et gestion de la relation avec la sous-traitance.
14;3;- Capacités d'écoute
15;3;#VALEUR!
16;3; chimiques
17;1; communication unifié
18;1;- conÃ§oit une architecture technique et fonctionnelle du systême d'information en collaboration avec les instances décisionnelles concernées en veillant au respect des contraintes externes et internes (délais
19;1;- Configuration matérielle des réseaux
20;2;- Connaissance d'Annuaire
21;2;- Connaissance de la virtualisation
22;2;- Connaissance de l'anglais
23;2;- Connaissance de VoIP
24;2;- Connaissance des réseaux Datacenter 
25;2;- Connaissance des réseaux LAN, MAN, WAN ,
26;2;- Connaissance sur les matériels routeurs, commutateurs, Firewall etc. ,
27;2;- Connaissance systême (Windows
28;1; couches techniques et logiciels
29;3; coûts
30;2;- cursus universitaire (Bac + 4 au moins)
31;1; de bonnes capacités d'adaptation s'imposent.
32;1; des besoins des autres directions.
33;1; des infrastructures informatiques
34;1; des principaux langages informatiques et systêmes d'exploitation.
35;3;- Disponibilité 
36;3; d'un encombrement réseau ou d'une perte de paquets
37;3; écriture de script d'automatisation des tests
38;3; électriques
39;1; en informatique et en environnement matériel.
40;3;- Esprit de groupe
41;1;- établit les schémas de circulation d'information et choisit les standards Ã  employer pour permettre les échanges de données
42;1;- étudie l'existant et identifie les contraintes techniques de confidentialité et de validité sur les données.
43;1;- Gérer et contrôler le niveau de qualité des infrastructures
44;3; gestion des stocks
45;3; guides métier
46;3;- Il est amené Ã  croiser les informations avec les différents départements : direction commerciale
47;1;- Il expérimente et valide les nouveaux standards
48;1;- Il sait notammentÂ interpréterÂ les problêmes liés au commerce ou au marketing et les transformer en problêmes mathématiques
49;3; incident ou accident
50;3; incident ou accident (spécifications physiques du produit
51;1; informaticien programmeur et manager
52;1; linux
53;1; logiciel
54;3; Machine Learning
55;1;- Maintenance des réseaux
56;3; maintenance et sécurisation du systême d'exploitation et d'information
57;2;- Matériels informatiques
58;1; méthode et processus 
59;3; Multimédia).
60;1; normes et standards d'exploitation informatiques
61;1; NoSQL
62;1; ou une formation notamment sur les parties gestion et suivi des changements.
63;1; outils de développement
64;3; paramétrer et configurer des ressources informatiques
65;1; pour piloter la gestion du budget informatique et favoriser le dialogue avec la direction financiêre.
66;1;- Pouvoir diagnostiquer l'origine d'une panne ou d'un  disfonctionnement
67;3; principaux langages informatiques... Il sait concevoir et faire évoluer l'architecture d'un systême d'infor
68;2;- Principaux types de câblages
69;3; produits ou événements
70;1;- ProEnvironnement professionnel du domaine d'activité
71;1;- propose des scénario d'évolution du systême d'information et les retranscrit sur la cartographie en garantissant leur intégrité au regard du schéma directeur
72;2;- Protocoles et normes réseau.
73;3;- Qualités relationnelles
74;1;- Réaliser le paramétrage et le debugging de période de lancement
75;1;- Réaliser les contrôles / tests qualitatifs et quantitatifs (scenario de tests
76;3; rechercher les données nécessaires Ã  laÂ résolutionÂ des différentes problématiques (sur les fournisseurs
77;3; réseau
78;1; réseauâ€¦)
79;3;- Résistance au stress
80;3;- Rigueur et Méthode 
81;3;- Savoir piloter
82;1; SSII
83;1; suivi de tableaux de bord...)
84;3; tableur
85;1; télécommunications
86;3; tests et diagnostics
87;3; un outil
88;3; une norme
89;3;#NAME?
90;2;: Connaissances en électronique
91;3;â€¦)
92;3;Ãªtre Ã  l'écoute
93;1;Accompagner 
94;3;ACTIVITéS éVENTUELLES
95;1;Analyser et comprendre l'origine d'un dysfonctionnement
96;1;Analyser les acteurs et outils (matériel ou logiciel) du marché
97;1;Analyser une situation problématique dans un environnement complexe
98;2;analyste statisticien
99;3;Anglais
100;3;Application(s) informatique(s) spécifique(s)
101;2;Architecture fonctionnelle SI
102;2;Architecture technique SI
